# X	Y	Z	rgb
48.9208	0.64937	-12.1479	5461333
49.3061	1.57188	-12.2937	7961462
48.2851	0.93592	-12.3922	4474954
46.2877	1.28391	-11.893	3092268
34.4189	0.619377	-9.17002	3619899
32.5836	1.60868	-8.70962	1513750
33.8292	0.777229	-9.10223	6580584
34.4543	1.64915	-9.33038	9079945
36.4223	0.738182	-9.94027	2369829
33.7298	2.30413	-9.13161	8553350
38.551	1.22506	-10.5958	4014654
38.2988	1.08618	-10.6079	12041403
37.5658	0.715405	-10.3991	8356992
38.3141	5.28294	-8.11159	7561287
38.6439	5.43744	-8.23693	8021576
36.499	2.40521	-8.14734	921611
38.0533	2.93327	-8.61766	3750712
36.2008	2.34114	-8.21494	4276542
51.0864	1.85401	-12.087	2895401
35.4358	4.084	-8.38342	3618610
48.6172	1.52017	-12.1637	7632751
48.3734	0.9148	-12.4165	4474954
46.9019	1.28757	-12.0722	3750198
33.6404	1.72462	-9.01668	461062
34.2504	0.824876	-9.22403	6382951
38.3781	5.38054	-8.17498	8218955
38.0407	2.94213	-8.58497	4606021
36.2426	2.32229	-8.20717	3552819
51.5249	1.82518	-12.198	2961194
35.4589	4.0541	-8.34457	4539964
49.1785	1.51921	-12.2244	6250844
39.053	5.52243	-8.33254	8021576
37.6837	2.87874	-8.50926	4934470
36.2704	2.40879	-8.16754	5329230
35.5184	4.059	-8.32698	4343099
39.5015	5.59594	-8.37868	7822396
36.8324	2.71467	-8.32862	4473919
36.2339	2.31865	-8.18724	5197644
35.4457	4.03454	-8.2564	4540730
39.5331	5.59956	-8.36816	7822396
36.8655	2.75248	-8.31981	5197642
